SamplingEvent,Year,StationName,Analyte,Conc,ConcUnits,Flow,LocType,Load,LoadUnits
"Mar 15-16, 2016",2016,Putah Creek at Mace Blvd,Iron- filtered,164,ug/L,50.9,Inlet,20.42,kg/day
"Mar 15-16, 2016",2016,Putah Creek at Mace Blvd,Manganese- filtered,10.4,ug/L,50.9,Inlet,1.295,kg/day
"Mar 15-16, 2016",2016,Putah Creek at Mace Blvd,MeHg- filtered,0.102,ng/L,50.9,Inlet,0.0127,g/day
"Mar 15-16, 2016",2016,Putah Creek at Mace Blvd,MeHg- particulate,0.08,ng/L,50.9,Inlet,0.009963,g/day
"Mar 15-16, 2016",2016,Putah Creek at Mace Blvd,MeHg- total,0.182,ng/L,50.9,Inlet,0.02266,g/day
"Mar 15-16, 2016",2016,Putah Creek at Mace Blvd,POC,0,mg/L as C,50.9,Inlet,0,"1,000 kg/day"
"Mar 15-16, 2016",2016,Putah Creek at Mace Blvd,THg- filtered,3.1,ng/L,50.9,Inlet,0.386,g/day
"Mar 15-16, 2016",2016,Putah Creek at Mace Blvd,THg- particulate,10.6,ng/L,50.9,Inlet,1.32,g/day
"Mar 15-16, 2016",2016,Putah Creek at Mace Blvd,THg- total,13.7,ng/L,50.9,Inlet,1.706,g/day
"Mar 15-16, 2016",2016,Putah Creek at Mace Blvd,TOC,6.3,mg/L as C,50.9,Inlet,0.7845,"1,000 kg/day"
"Mar 15-16, 2016",2016,Putah Creek at Mace Blvd,TSS,76,mg/L,50.9,Inlet,9.464,"1,000 kg/day"
"Mar 15-16, 2016",2016,Putah Creek at Mace Blvd,VSS,7,mg/L,50.9,Inlet,0.8717,"1,000 kg/day"
"Mar 15-16, 2016",2016,Liberty Cut below Stairsteps,Chloride- filtered,5,mg/L,17028.3,Outlet,208.3,"1,000 kg/day"
"Mar 15-16, 2016",2016,Liberty Cut below Stairsteps,DOC,4.1,mg/L as C,17028.3,Outlet,170.8,"1,000 kg/day"
"Mar 15-16, 2016",2016,Liberty Cut below Stairsteps,Iron- filtered,110,ug/L,17028.3,Outlet,4583,kg/day
"Mar 15-16, 2016",2016,Liberty Cut below Stairsteps,Manganese- filtered,16.1,ug/L,17028.3,Outlet,670.7,kg/day
"Mar 15-16, 2016",2016,Liberty Cut below Stairsteps,MeHg- filtered,0.144,ng/L,17028.3,Outlet,5.999,g/day
"Mar 15-16, 2016",2016,Liberty Cut below Stairsteps,MeHg- particulate,0.121,ng/L,17028.3,Outlet,5.041,g/day
